Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
SuperGaming,2017,Pune,Consumer Goods And Services,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Early Traction,2021
Ruptok,2020,New Delhi,Finance And Technology,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Debt,2021
O’ Be Cocktails,2019,Bangalore,Consumer Goods And Services,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,Debt,2021
Zetwerk,2018,Bangalore,Technology Solutions For Industry,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",Not filled,150000000.0,Scaling,2021
AppsForBharat,2020,Bangalore,Technology And Software,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,Validation,2021
Imagimake,2011,Mumbai,Consumer Goods And Services,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,4000000.0,Debt,2021
Khatabook,2018,Bangalore,Finance And Technology,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Scaling,2021
Smytten,2015,Gurugram,Consumer Goods And Services,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,Early Traction,2021
Syook,2016,Bangalore,Technology Solutions For Industry,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000.0,Early Traction,2021
Akudo,2020,Bangalore,Finance And Technology,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",4000000.0,Ideation,2021
NOTO,2019,Mumbai,Consumer Goods And Services,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,Validation,2021
Lumiq,2013,Noida,Human Resources And Consultancy,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,Validation,2021
CommerceUp,2018,Gurugram,Human Resources And Consultancy,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,4000000.0,Validation,2021
Breathe Well-being,2015,Gurugram,Healthcare And Health Technology,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,Early Traction,2021
Hike,2012,New Delhi,Human Resources And Consultancy,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",4000000.0,Debt,2021
